"imp_i","imp_j","m2","r"
3,5,0.01723,0.991348
3,6,0.01708,0.991423
3,7,0.016639,0.991646
3,8,0.017622,0.99115
3,9,0.016714,0.991608
3,10,0.017144,0.991391
3,11,0.004626,0.997684
3,12,0.005044,0.997475
3,13,0.009415,0.995282
3,14,0.01724,0.991343
3,15,0.016956,0.991486
3,16,0.004845,0.997575
3,17,0.005015,0.997489
3,18,0.016995,0.991466
3,19,0.016511,0.99171
3,20,0.017064,0.991431
3,21,0.017184,0.991371
3,22,0.016734,0.991598
3,23,0.017823,0.991048
3,24,0.017005,0.991461
3,25,0.017436,0.991244
3,26,0.016573,0.991679
3,27,0.005213,0.99739
3,28,0.017523,0.9912
3,29,0.017209,0.991358
3,30,0.016845,0.991542
3,31,0.016894,0.991517
3,32,0.017239,0.991343
3,33,0.017066,0.99143
3,34,0.005317,0.997338
3,35,0.016674,0.991628
3,36,0.017066,0.991431
3,37,0.016725,0.991602
3,38,0.01743,0.991247
3,39,0.017207,0.991359
3,40,0.004924,0.997535
3,41,0.005122,0.997436
3,42,0.00542,0.997286
3,43,0.005165,0.997414
3,44,0.016593,0.991669
3,45,0.005378,0.997307
3,46,0.005188,0.997403
3,47,0.017031,0.991448
3,48,0.005069,0.997462
3,49,0.00527,0.997361
3,50,0.017315,0.991305
3,51,0.017534,0.991194
3,52,0.005019,0.997487
3,53,0.005021,0.997487
3,54,0.01788,0.99102
3,55,0.0139,0.993026
3,56,0.017314,0.991305
3,57,0.017023,0.991452
3,58,0.005161,0.997416
3,59,0.017469,0.991227
3,60,0.005112,0.997441
3,61,0.004714,0.99764
3,62,0.004953,0.99752
3,63,0.017504,0.991209
3,64,0.004822,0.997586
3,65,0.017195,0.991365
3,66,0.016501,0.991715
3,67,0.017017,0.991455
3,68,0.017193,0.991366
3,69,0.016748,0.991591
3,70,0.017936,0.990992
3,71,0.005306,0.997343
3,72,0.017776,0.991072
3,73,0.017625,0.991148
3,74,0.016785,0.991572
3,75,0.01723,0.991348
3,76,0.016855,0.991537
3,77,0.017023,0.991452
3,78,0.017187,0.991369
3,79,0.016821,0.991554
3,80,0.017387,0.991268
3,81,0.005092,0.997451
3,82,0.017788,0.991066
3,83,0.005679,0.997156
3,84,0.016736,0.991597
3,85,0.01734,0.991292
3,86,0.017002,0.991462
3,87,0.00575,0.997121
3,88,0.005571,0.997211
3,89,0.018456,0.990729
3,90,0.017408,0.991258
3,91,0.017156,0.991385
3,92,0.016794,0.991567
3,93,0.005403,0.997295
3,94,0.017156,0.991385
3,95,0.017209,0.991358
3,96,0.017416,0.991254
3,97,0.017511,0.991206
3,98,0.017881,0.991019
3,99,0.005586,0.997203
3,100,0.005458,0.997267
4,5,0.005924,0.997034
4,6,0.006052,0.996969
4,7,0.006093,0.996949
4,8,0.005654,0.997169
4,9,0.005924,0.997033
4,10,0.005537,0.997228
4,11,0.016904,0.991512
4,12,0.014652,0.992647
4,13,0.008585,0.995698
4,14,0.005256,0.997369
4,15,0.005846,0.997073
4,16,0.015735,0.992101
4,17,0.014906,0.992519
4,18,0.005869,0.997061
4,19,0.005532,0.99723
4,20,0.005596,0.997198
4,21,0.005543,0.997224
4,22,0.005754,0.997119
4,23,0.00602,0.996985
4,24,0.005472,0.99726
4,25,0.005628,0.997182
4,26,0.005593,0.9972
4,27,0.014298,0.992825
4,28,0.005792,0.9971
4,29,0.005921,0.997035
4,30,0.005757,0.997117
4,31,0.005747,0.997123
4,32,0.005645,0.997174
4,33,0.006092,0.996949
4,34,0.013704,0.993124
4,35,0.005933,0.997029
4,36,0.005828,0.997082
4,37,0.00604,0.996975
4,38,0.005381,0.997306
4,39,0.00574,0.997126
4,40,0.014601,0.992673
4,41,0.01504,0.992451
4,42,0.014681,0.992632
4,43,0.014847,0.992549
4,44,0.005703,0.997144
4,45,0.014838,0.992553
4,46,0.014514,0.992717
4,47,0.005458,0.997267
4,48,0.014844,0.99255
4,49,0.014786,0.992579
4,50,0.00621,0.99689
4,51,0.005749,0.997121
4,52,0.014538,0.992704
4,53,0.015108,0.992417
4,54,0.00596,0.997016
4,55,0.006563,0.996713
4,56,0.005832,0.99708
4,57,0.005753,0.99712
4,58,0.014996,0.992474
4,59,0.005827,0.997082
4,60,0.014846,0.992549
4,61,0.014388,0.99278
4,62,0.015464,0.992238
4,63,0.00592,0.997036
4,64,0.015393,0.992274
4,65,0.005868,0.997062
4,66,0.006023,0.996984
4,67,0.00578,0.997106
4,68,0.005728,0.997132
4,69,0.006218,0.996886
4,70,0.005742,0.997125
4,71,0.014299,0.992825
4,72,0.005578,0.997207
4,73,0.005345,0.997324
4,74,0.005707,0.997142
4,75,0.005754,0.997119
4,76,0.005617,0.997188
4,77,0.005828,0.997082
4,78,0.006014,0.996988
4,79,0.005184,0.997405
4,80,0.005921,0.997035
4,81,0.014325,0.992811
4,82,0.005589,0.997202
4,83,0.014413,0.992767
4,84,0.006098,0.996946
4,85,0.005488,0.997252
4,86,0.005859,0.997066
4,87,0.014242,0.992853
4,88,0.014148,0.992901
4,89,0.005805,0.997093
4,90,0.005755,0.997118
4,91,0.005966,0.997013
4,92,0.006084,0.996953
4,93,0.014835,0.992555
4,94,0.005689,0.997151
4,95,0.005234,0.997379
4,96,0.005582,0.997205
4,97,0.005676,0.997158
4,98,0.005624,0.997184
4,99,0.014199,0.992875
4,100,0.013988,0.992981
5,6,0.005944,0.997024
5,7,0.006539,0.996725
5,8,0.006356,0.996817
5,9,0.006439,0.996775
5,10,0.00614,0.996925
5,11,0.016264,0.991834
5,12,0.014081,0.992934
5,13,0.008485,0.995748
5,14,0.006117,0.996937
5,15,0.005985,0.997003
5,16,0.015493,0.992223
5,17,0.014473,0.992737
5,18,0.006242,0.996874
5,19,0.005683,0.997155
5,20,0.00562,0.997186
5,21,0.00583,0.997081
5,22,0.0058,0.997096
5,23,0.006272,0.996859
5,24,0.006313,0.996838
5,25,0.005695,0.997149
5,26,0.006143,0.996924
5,27,0.013773,0.99309
